iso3c,country,income_group,indicators_observed,overall_coverage,gini,inc_share_low20,poverty_215,sec_enrol_gross,tert_enrol_gross,sec_completion,adult_literacy,youth_literacy,gpi_sec,gpi_tert,edu_spend_gdp,gdp_pc_ppp,pop_total,work_age_share,gov_effect,voice_account,ctrl_corrup
URY,Uruguay,High income,17,92.4,100.0,100.0,100.0,90.0,90.0,90.0,90.0,100.0,80.0,70.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
ESP,Spain,High income,17,89.4,90.0,90.0,90.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
PAN,Panama,High income,17,84.1,80.0,80.0,80.0,80.0,60.0,90.0,50.0,90.0,80.0,80.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
AUT,Austria,High income,15,83.5,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
BGR,Bulgaria,High income,15,83.5,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
CRI,Costa Rica,High income,16,83.5,100.0,100.0,100.0,100.0,50.0,100.0,0.0,10.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
EST,Estonia,High income,15,83.5,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
FIN,Finland,High income,15,83.5,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
LVA,Latvia,High income,15,83.5,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
NOR,Norway,High income,15,83.5,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
SVK,Slovak Republic,High income,15,83.5,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
SWE,Sweden,High income,15,83.5,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
DNK,Denmark,High income,15,82.9,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
LUX,Luxembourg,High income,15,82.9,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
ISR,Israel,High income,15,81.8,80.0,80.0,80.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
ITA,Italy,High income,17,81.8,90.0,90.0,90.0,90.0,90.0,90.0,10.0,10.0,90.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
CHE,Switzerland,High income,15,81.2,80.0,80.0,80.0,100.0,100.0,100.0,0.0,0.0,90.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
LTU,Lithuania,High income,15,81.2,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,60.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
ROU,Romania,High income,17,81.2,90.0,90.0,90.0,90.0,90.0,90.0,10.0,10.0,80.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
BEL,Belgium,High income,15,80.6,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,90.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
SVN,Slovenia,High income,15,80.6,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,90.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
CYP,Cyprus,High income,15,80.6,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,60.0,100.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
FRA,France,High income,15,80.6,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,70.0,100.0,60.0,100.0,100.0,100.0,90.0,90.0,90.0
POL,Poland,High income,15,80.0,90.0,90.0,90.0,100.0,100.0,80.0,0.0,0.0,60.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
CZE,Czechia,High income,15,79.4,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,70.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
MLT,Malta,High income,15,79.4,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,90.0,90.0,60.0,100.0,100.0,100.0,90.0,90.0,90.0
RUS,Russian Federation,High income,17,79.4,90.0,90.0,90.0,90.0,100.0,60.0,10.0,10.0,50.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
USA,United States,High income,15,78.8,100.0,100.0,100.0,80.0,80.0,90.0,0.0,0.0,70.0,80.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
GRC,Greece,High income,15,78.2,90.0,90.0,90.0,90.0,80.0,90.0,0.0,0.0,90.0,90.0,50.0,100.0,100.0,100.0,90.0,90.0,90.0
PRT,Portugal,High income,15,78.2,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,60.0,90.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
CHL,Chile,High income,17,78.2,50.0,50.0,50.0,100.0,100.0,100.0,20.0,30.0,80.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
KOR,"Korea, Rep.",High income,15,78.2,60.0,60.0,60.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
DEU,Germany,High income,15,77.6,80.0,80.0,80.0,100.0,100.0,40.0,0.0,0.0,90.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
HRV,Croatia,High income,15,76.5,90.0,90.0,90.0,90.0,90.0,80.0,0.0,0.0,60.0,90.0,50.0,100.0,100.0,100.0,90.0,90.0,90.0
IRL,Ireland,High income,15,75.9,90.0,90.0,90.0,80.0,80.0,80.0,0.0,0.0,60.0,80.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
GBR,United Kingdom,High income,15,74.1,70.0,70.0,70.0,80.0,90.0,70.0,0.0,0.0,80.0,90.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
HUN,Hungary,High income,15,72.9,30.0,30.0,30.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
ISL,Iceland,High income,15,72.9,50.0,50.0,50.0,90.0,90.0,80.0,0.0,0.0,90.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
CAN,Canada,High income,14,72.4,80.0,80.0,80.0,90.0,90.0,0.0,0.0,0.0,70.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
QAT,Qatar,High income,17,71.8,10.0,10.0,10.0,100.0,100.0,100.0,50.0,50.0,90.0,100.0,30.0,100.0,100.0,100.0,90.0,90.0,90.0
BRB,Barbados,High income,15,70.6,10.0,10.0,10.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
NLD,Netherlands,High income,14,70.6,70.0,70.0,70.0,90.0,70.0,0.0,0.0,0.0,90.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
SYC,Seychelles,High income,15,70.0,10.0,10.0,10.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
SGP,Singapore,High income,14,70.0,0.0,0.0,0.0,80.0,80.0,80.0,70.0,70.0,60.0,80.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
OMN,Oman,High income,14,68.8,0.0,0.0,0.0,90.0,80.0,100.0,50.0,50.0,90.0,90.0,50.0,100.0,100.0,100.0,90.0,90.0,90.0
AND,Andorra,High income,12,68.2,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
BHR,Bahrain,High income,14,67.6,0.0,0.0,0.0,80.0,100.0,90.0,30.0,30.0,60.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
JPN,Japan,High income,14,67.1,60.0,60.0,60.0,90.0,90.0,0.0,0.0,0.0,50.0,90.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
AUS,Australia,High income,14,64.1,30.0,30.0,30.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,30.0,100.0,100.0,100.0,90.0,90.0,90.0
KWT,Kuwait,High income,14,64.1,0.0,0.0,0.0,70.0,70.0,70.0,40.0,40.0,70.0,70.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
SAU,Saudi Arabia,High income,14,64.1,0.0,0.0,0.0,90.0,90.0,90.0,30.0,30.0,90.0,90.0,10.0,100.0,100.0,100.0,90.0,90.0,90.0
NZL,New Zealand,High income,11,62.4,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
ARE,United Arab Emirates,High income,17,61.8,10.0,10.0,10.0,70.0,70.0,60.0,50.0,50.0,50.0,70.0,30.0,100.0,100.0,100.0,90.0,90.0,90.0
BRN,Brunei Darussalam,High income,12,60.0,0.0,0.0,0.0,100.0,90.0,100.0,0.0,0.0,60.0,90.0,10.0,100.0,100.0,100.0,90.0,90.0,90.0
SMR,San Marino,High income,14,59.4,0.0,0.0,0.0,70.0,70.0,70.0,10.0,10.0,70.0,70.0,80.0,90.0,100.0,100.0,90.0,90.0,90.0
KNA,St. Kitts and Nevis,High income,12,57.1,0.0,0.0,0.0,90.0,10.0,90.0,0.0,0.0,30.0,90.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
BHS,"Bahamas, The",High income,11,56.5,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,60.0,80.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
NRU,Nauru,High income,13,54.1,0.0,0.0,0.0,60.0,0.0,60.0,20.0,10.0,50.0,60.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
MAC,"Macao SAR, China",High income,11,53.5,0.0,0.0,0.0,100.0,100.0,100.0,10.0,10.0,100.0,100.0,90.0,100.0,100.0,100.0,0.0,0.0,0.0
ATG,Antigua and Barbuda,High income,11,51.2,0.0,0.0,0.0,70.0,0.0,60.0,0.0,0.0,30.0,50.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
PLW,Palau,High income,14,49.4,0.0,0.0,0.0,50.0,30.0,40.0,20.0,20.0,30.0,50.0,40.0,90.0,100.0,100.0,90.0,90.0,90.0
LIE,Liechtenstein,High income,10,47.6,0.0,0.0,0.0,70.0,70.0,60.0,0.0,0.0,70.0,70.0,0.0,0.0,100.0,100.0,90.0,90.0,90.0
TCA,Turks and Caicos Islands,High income,10,47.1,0.0,0.0,0.0,100.0,70.0,70.0,0.0,10.0,50.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
GUY,Guyana,High income,14,45.9,0.0,0.0,0.0,40.0,20.0,20.0,10.0,10.0,30.0,40.0,40.0,100.0,100.0,100.0,90.0,90.0,90.0
TTO,Trinidad and Tobago,High income,13,45.9,0.0,0.0,0.0,20.0,10.0,40.0,0.0,10.0,20.0,20.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
PRI,Puerto Rico (US),High income,11,44.1,0.0,0.0,0.0,50.0,90.0,40.0,10.0,10.0,50.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
MCO,Monaco,High income,10,38.8,0.0,0.0,0.0,20.0,20.0,70.0,0.0,0.0,0.0,20.0,60.0,0.0,100.0,100.0,90.0,90.0,90.0
CYM,Cayman Islands,High income,10,38.2,0.0,0.0,0.0,70.0,0.0,70.0,10.0,10.0,70.0,70.0,60.0,90.0,100.0,100.0,0.0,0.0,0.0
ASM,American Samoa,High income,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
ABW,Aruba,High income,8,,0.0,0.0,0.0,60.0,30.0,50.0,0.0,0.0,0.0,80.0,60.0,100.0,100.0,100.0,0.0,0.0,0.0
BMU,Bermuda,High income,9,,0.0,0.0,0.0,20.0,40.0,20.0,0.0,0.0,10.0,40.0,90.0,100.0,100.0,100.0,0.0,0.0,0.0
VGB,British Virgin Islands,High income,8,,0.0,0.0,0.0,100.0,90.0,100.0,0.0,0.0,100.0,100.0,90.0,0.0,100.0,100.0,0.0,0.0,0.0
CHI,Channel Islands,High income,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
CUW,Curacao,High income,7,,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,20.0,30.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
FRO,Faroe Islands,High income,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
PYF,French Polynesia,High income,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
GIB,Gibraltar,High income,6,,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,50.0,80.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
GRL,Greenland,High income,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,100.0,0.0,0.0,0.0
GUM,Guam,High income,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
HKG,"Hong Kong SAR, China",High income,9,,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,70.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
IMN,Isle of Man,High income,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
NCL,New Caledonia,High income,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
MNP,Northern Mariana Islands,High income,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
SXM,Sint Maarten (Dutch part),High income,6,,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,20.0,100.0,100.0,100.0,0.0,0.0,0.0
MAF,St. Martin (French part),High income,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
VIR,Virgin Islands (U.S.),High income,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,100.0,0.0,0.0,0.0
DOM,Dominican Republic,Upper middle income,17,96.5,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
SLV,El Salvador,Upper middle income,17,94.1,80.0,80.0,80.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
ARM,Armenia,Upper middle income,17,93.5,100.0,100.0,100.0,100.0,100.0,90.0,70.0,70.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
GEO,Georgia,Upper middle income,17,93.5,100.0,100.0,100.0,100.0,90.0,100.0,80.0,80.0,70.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
ECU,Ecuador,Upper middle income,17,92.4,100.0,100.0,100.0,90.0,60.0,100.0,70.0,100.0,90.0,90.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
BRA,Brazil,Upper middle income,17,91.8,100.0,100.0,100.0,90.0,90.0,50.0,100.0,100.0,90.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
THA,Thailand,Upper middle income,17,90.6,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,80.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
COL,Colombia,Upper middle income,17,90.0,100.0,100.0,100.0,80.0,80.0,80.0,100.0,100.0,80.0,80.0,60.0,100.0,100.0,100.0,90.0,90.0,90.0
IDN,Indonesia,Upper middle income,17,89.4,100.0,100.0,100.0,100.0,90.0,100.0,40.0,60.0,70.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
MEX,Mexico,Upper middle income,17,87.6,50.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
PER,Peru,Upper middle income,17,87.1,100.0,100.0,100.0,100.0,20.0,60.0,60.0,100.0,70.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
TUR,Turkiye,Upper middle income,17,86.5,90.0,90.0,90.0,90.0,90.0,90.0,50.0,70.0,70.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
IRN,"Iran, Islamic Rep.",Upper middle income,17,85.3,90.0,90.0,90.0,60.0,80.0,60.0,90.0,90.0,60.0,90.0,80.0,100.0,100.0,100.0,90.0,90.0,90.0
SRB,Serbia,Upper middle income,17,84.1,90.0,90.0,90.0,90.0,100.0,80.0,30.0,30.0,90.0,100.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
MDA,Moldova,Upper middle income,15,82.4,90.0,90.0,90.0,100.0,100.0,100.0,0.0,0.0,70.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
ARG,Argentina,Upper middle income,17,80.6,90.0,90.0,90.0,90.0,90.0,90.0,10.0,10.0,60.0,90.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
BLR,Belarus,Upper middle income,17,80.6,60.0,60.0,60.0,100.0,100.0,100.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
KAZ,Kazakhstan,Upper middle income,15,80.6,70.0,70.0,70.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
PRY,Paraguay,Upper middle income,16,80.6,100.0,100.0,100.0,60.0,0.0,60.0,60.0,100.0,60.0,60.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
ALB,Albania,Upper middle income,17,79.4,60.0,60.0,60.0,100.0,100.0,90.0,20.0,20.0,80.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
MYS,Malaysia,Upper middle income,17,79.4,30.0,30.0,30.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
UKR,Ukraine,Upper middle income,15,74.7,60.0,60.0,60.0,90.0,90.0,90.0,0.0,0.0,90.0,90.0,70.0,100.0,100.0,100.0,90.0,90.0,90.0
AZE,Azerbaijan,Upper middle income,14,74.1,0.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0
